time,humidity
2024-08-01T09:41:57.429459788Z,39.70000076
2024-08-01T09:42:29.988683981Z,39.59999847
2024-08-01T09:42:32.039575804Z,39.70000076
2024-08-01T09:42:34.085933725Z,39.59999847
2024-08-01T09:42:36.132607595Z,39.70000076
2024-08-01T09:42:38.180595116Z,39.59999847
2024-08-01T09:42:44.222407026Z,39.5
2024-08-01T09:42:56.510336789Z,39.59999847
2024-08-01T09:43:14.8403688Z,39.70000076
2024-08-01T09:43:16.791299132Z,39.59999847
2024-08-01T09:43:18.834110282Z,39.70000076
2024-08-01T09:43:20.984820183Z,39.59999847
2024-08-01T09:43:22.929427363Z,39.5
2024-08-01T09:43:27.026135175Z,39.59999847
2024-08-01T09:43:29.074173901Z,39.5
2024-08-01T09:43:41.259141913Z,39.59999847
2024-08-01T09:43:49.45225061Z,39.5
2024-08-01T09:44:01.637500845Z,39.59999847
2024-08-01T09:44:03.684425596Z,39.5
2024-08-01T09:44:05.732954495Z,39.59999847
2024-08-01T09:44:07.780790944Z,39.5
2024-08-01T09:44:15.871597951Z,39.40000153
2024-08-01T09:44:38.400858166Z,39.5
2024-08-01T09:44:44.440024594Z,39.40000153
2024-08-01T09:44:52.632318878Z,39.29999924
2024-08-01T09:44:54.578220929Z,39.40000153
2024-08-01T09:44:58.673260876Z,39.29999924
2024-08-01T09:45:08.913398542Z,39.40000153
2024-08-01T09:45:10.859723693Z,39.29999924
2024-08-01T09:45:21.099217564Z,39.20000076
2024-08-01T09:46:23.460857126Z,39.20000076
2024-08-01T09:46:27.455484274Z,39.09999847
2024-08-01T09:46:41.791023904Z,39
2024-08-01T09:47:04.113642132Z,39.09999847
2024-08-01T09:47:06.162183097Z,39
2024-08-01T09:47:16.402073767Z,39.09999847
2024-08-01T09:47:30.635830903Z,39
2024-08-01T09:47:38.827815926Z,39.09999847
2024-08-01T09:47:40.8761419Z,39
2024-08-01T09:47:46.917620566Z,39.09999847
2024-08-01T09:47:48.969891217Z,39
2024-08-01T09:47:53.062636225Z,39.09999847
2024-08-01T09:47:55.109723196Z,39
2024-08-01T09:47:57.156967355Z,39.09999847
2024-08-01T09:48:03.301379358Z,39
2024-08-01T09:48:05.257984643Z,39.09999847
2024-08-01T09:48:07.294962285Z,39
2024-08-01T09:48:11.390726925Z,39.09999847
2024-08-01T09:48:13.438797131Z,39
2024-08-01T09:48:17.53452701Z,39.09999847
2024-08-01T09:48:19.582772211Z,39
2024-08-01T09:48:21.631679405Z,39.09999847
2024-08-01T09:48:23.679065153Z,39
2024-08-01T09:48:29.720849944Z,39.09999847
2024-08-01T09:48:31.769075947Z,39
2024-08-01T09:48:37.915281628Z,39.09999847
2024-08-01T09:48:39.960316107Z,39
2024-08-01T09:48:44.056482469Z,39.09999847
2024-08-01T09:48:48.05014893Z,39
2024-08-01T09:48:52.14620209Z,38.90000153
2024-08-01T09:48:54.194613175Z,39
2024-08-01T09:48:56.242540556Z,38.90000153
2024-08-01T09:49:00.338806733Z,39
2024-08-01T09:49:08.529821075Z,39.09999847
2024-08-01T09:49:10.476032376Z,39
2024-08-01T09:49:13.677731739Z,27
2024-08-01T09:49:16.619934652Z,27
2024-08-01T09:49:18.667990123Z,39
2024-08-01T09:49:30.853859605Z,39.09999847
2024-08-01T09:49:32.901705952Z,39
2024-08-01T09:49:43.141545261Z,39.09999847
2024-08-01T09:49:45.189322528Z,39
2024-08-01T09:49:53.279875511Z,38.90000153
2024-08-01T09:49:55.328990624Z,39
2024-08-01T09:49:59.423331878Z,38.90000153
2024-08-01T09:50:01.471458155Z,39
2024-08-01T09:50:05.567510833Z,38.90000153
2024-08-01T09:50:07.512821223Z,39
2024-08-01T09:50:21.951440337Z,38.90000153
2024-08-01T09:50:23.897511296Z,39
2024-08-01T09:50:40.178505669Z,39.09999847
2024-08-01T09:50:42.226857038Z,39
2024-08-01T09:50:54.411845206Z,38.90000153
2024-08-01T09:50:56.460042793Z,39
2024-08-01T09:51:22.983485507Z,39.09999847
2024-08-01T09:51:24.928902434Z,39
2024-08-01T09:51:29.023199763Z,39.09999847
2024-08-01T09:51:31.071238924Z,39
2024-08-01T09:51:39.263422563Z,39.09999847
2024-08-01T09:51:41.311215466Z,39
2024-08-01T09:51:43.256966156Z,39.09999847
2024-08-01T09:51:47.352608837Z,39
2024-08-01T09:51:49.401270261Z,39.09999847
2024-08-01T09:51:53.496888661Z,39
2024-08-01T09:51:55.544844557Z,39.09999847
2024-08-01T09:51:57.592983388Z,39
2024-08-01T09:51:59.641157578Z,39.09999847
2024-08-01T09:52:13.874327579Z,39.20000076
2024-08-01T09:52:28.112806915Z,39.09999847
2024-08-01T09:52:40.396105697Z,39
2024-08-01T09:52:42.44442472Z,39.09999847
2024-08-01T09:52:44.389501307Z,39
2024-08-01T09:52:46.437585686Z,39.09999847
2024-08-01T09:52:50.533902461Z,39
2024-08-01T09:52:52.581546734Z,39.09999847
2024-08-01T09:53:00.773433851Z,39
2024-08-01T09:53:04.7675002Z,39.09999847
2024-08-01T09:53:12.960963198Z,39.20000076
2024-08-01T09:53:17.054932791Z,39.09999847
2024-08-01T09:53:31.28872264Z,39
2024-08-01T09:53:43.57746186Z,39.09999847
2024-08-01T09:53:59.74608406Z,39
2024-08-01T09:54:18.188361129Z,39.09999847
2024-08-01T09:54:20.133882388Z,39
2024-08-01T09:54:22.182370072Z,39.09999847
2024-08-01T09:54:24.229831278Z,39
2024-08-01T09:54:32.422109975Z,38.90000153
2024-08-01T09:54:34.472340319Z,39
2024-08-01T09:54:40.614258654Z,38.90000153
2024-08-01T09:54:50.751838953Z,38.79999924
2024-08-01T09:54:52.799581213Z,38.90000153
2024-08-01T09:54:54.848672813Z,38.79999924
2024-08-01T09:54:56.895589103Z,38.90000153
2024-08-01T09:55:13.177218267Z,38.79999924
2024-08-01T09:55:15.226263713Z,38.90000153
2024-08-01T09:55:21.266654116Z,38.79999924
2024-08-01T09:55:23.317772934Z,38.90000153
2024-08-01T09:55:25.363266806Z,38.79999924
2024-08-01T09:55:27.411072589Z,38.90000153
2024-08-01T09:55:45.740775599Z,39
2024-08-01T09:55:47.789198338Z,38.90000153
2024-08-01T09:55:49.836108365Z,39
2024-08-01T09:55:51.884440012Z,38.90000153
2024-08-01T09:56:06.118159125Z,39
2024-08-01T09:56:08.166061789Z,38.90000153
2024-08-01T09:56:32.640696213Z,38.79999924
2024-08-01T09:56:34.585500241Z,38.90000153
2024-08-01T09:56:40.729637619Z,38.79999924
2024-08-01T09:56:42.777380529Z,38.90000153
2024-08-01T09:56:48.921066956Z,39
2024-08-01T09:56:57.012015375Z,38.79999924
2024-08-01T09:57:01.107567169Z,38.70000076
2024-08-01T09:57:07.25562982Z,38.79999924
2024-08-01T09:57:13.396909931Z,38.90000153
2024-08-01T09:57:15.341052123Z,38.79999924
2024-08-01T09:57:17.388758627Z,38.90000153
2024-08-01T09:57:50.054017553Z,39
2024-08-01T09:57:52.102066156Z,38.90000153
